receptions,targets,receiving_yards,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,player_id,player_name,season
14,28,128.0,205.0,78.0,7.0,0.8381346864105484,0.7900761089871706,1.8102553059068425,26.8,0.0897435897435897,0.0833672224481496,0.2013091625739043,0.0717488789237668,0.0897435897435897,0.0786516853932584,0.0573991031390134,0.4102564102564102,0.0444179262795014,00-0036556,Brevin Jordan,2022
17,21,219.0,115.0,124.0,13.0,0.6654235574050149,0.3520957220769762,1.2446023415614058,50.900000000000006,0.0670926517571885,0.0437928408225437,0.1356732502938177,0.0992297236067059,0.1313131313131313,0.1339285714285714,0.1101530096545955,0.6996805111821086,0.0684158176295061,00-0036556,Brevin Jordan,2023
2,3,7.0,1.0,3.0,1.0,0.0939278937381404,0.0035633908477119,0.1433862142006089,2.7,0.0441176470588235,0.0018903591682419,0.0676887579228288,0.0141700404858299,0.0416666666666666,0.037037037037037,0.0113360323886639,0.1029411764705882,0.0150871703173893,00-0036556,Brevin Jordan,2024
8,11,84.0,77.0,38.0,6.0,0.2809862136487523,0.2012123588505221,0.5623279716684939,20.4,0.0428015564202334,0.0340557275541795,0.0914469166736938,0.0437727983324648,0.0631578947368421,0.0625,0.0467829445483248,0.3268482490272373,0.0299929428369795,00-0036590,Quintin Morris,2022
2,3,26.0,33.0,5.0,1.0,0.1034482758620689,0.167876030008609,0.2726856347991298,10.6,0.0483870967741935,0.0670731707317073,0.1262391817466561,0.0585585585585585,0.0454545454545454,0.074074074074074,0.0868468468468468,0.4193548387096774,0.0620028076743097,00-0036590,Quintin Morris,2023
5,8,36.0,74.0,22.0,3.0,0.2757184179085707,0.3460474388136904,0.6558108340324393,14.6,0.0509554140127388,0.0770031217481789,0.1380356184176515,0.0349854227405247,0.0576923076923076,0.064516129032258,0.0479883381924198,0.2292993630573248,0.0319572735630171,00-0036590,Quintin Morris,2024
20,25,249.0,149.0,139.0,11.0,0.8883966622937212,0.7886037572898114,1.8846176235434493,50.900000000000006,0.0718390804597701,0.0587539432176656,0.1547617752637876,0.1103234381922906,0.0982142857142857,0.0967741935483871,0.1049254172204992,0.7155172413793104,0.0623636942831238,00-0036628,John Bates,2021
14,22,108.0,114.0,54.0,4.0,0.6830155199190193,0.5024250127069663,1.3762207887734053,30.8,0.0689655172413793,0.0458199356913183,0.1401042244151236,0.0503027480204937,0.0388349514563106,0.0423728813559322,0.0535755317497283,0.3385579937304075,0.0405113905403272,00-0036628,John Bates,2022
19,28,151.0,175.0,65.0,6.0,0.8005119528319325,0.7866790348815197,1.751443253664963,34.1,0.0520446096654275,0.0440917107583774,0.1133402831048432,0.0428855438795796,0.0384615384615384,0.034090909090909,0.0343084351036637,0.2806691449814126,0.0284417902480524,00-0036628,John Bates,2023
8,13,84.0,63.0,49.0,3.0,0.4134086569370054,0.2370676366699347,0.7860603310744625,14.4,0.0396341463414634,0.0258196721311475,0.0801069572171131,0.035820895522388,0.0258620689655172,0.0225563909774436,0.0286567164179104,0.2560975609756097,0.0153567238989015,00-0036628,John Bates,2024
7,10,36.0,23.0,18.0,2.0,0.2703469789169586,0.1004458893187177,0.4758325908985404,16.6,0.0359712230215827,0.010752688172043,0.0625589850700085,0.0177777777777777,0.018018018018018,0.0232558139534883,0.0253333333333333,0.1294964028776978,0.0216710182767624,00-0036637,Noah Gray,2021
